,title,jobclass,url,jobdescription
0,Data Scientist with AML and Trading,data scientist,/pagead/clk?mo=r&ad=-6NYlbfkN0BFemGR3Go9F8v2-GKl2JIsWfZgOhsTAVgyMzz65WEpTSto8y4e2g6lHk2r0am1_KLrr8uYMO4eCH-2DXm6qm-nmumfeyMRn2PWCpVGb3QeBzGf-xOZ24HVdoFP4yZJpZ4u3qh1BpU2Q-wjlizELTHURyZTNsPUpL-BATz1daDSkd4BB8C4fDO0s_IxWYVp6Kp7B13OM2TESOwLoduaJErWm-MdKU_j9wZKpTlrZRDbztUfCVU1Gn8YCxWy1h6V74SxlBlG5igVS9QMS_fHwHIy1KUtfzB_8cJQD11tZ56CYXHExlcg2grZlYFtvfF0SDjlzLN0D4bJ1SHp2Sguwo7rTVKqWPtUg7vxeexkk-sUmQSkYse4og3ExpbObg8kZnCiPncYuuTpbtJATTtq_EntVoXYOfW2LBwrlQnzMEVGjTFPlDjC7c3-B4jp4DA5iYx2V9fHT5u6Ow==&p=2&fvj=1&vjs=3,Job Description The purpose of the AML Financial Crime Investigations team is to ensure that AML coverage assessment model review and validation is completed annually in accordance with the Anti-Money Laundering/ Sanctions model governance framework within the Americas Reporting to the Model Development VP in New York and as part of the wider Americas AML and Anti Financial Crime Team As part of team your main focus is supporting and performing key responsibilities for model development and implementation process Primary Responsibilities Hands-on development and programming Can work independently when task is assigned and deliver a quality product Have good understanding of end-to-end development and implementation methodologies Requirements Education Experience Key Competencies Education Experience H The purpose of the AML Financial Crime Investigations team is to ensure that AML coverage assessment model review and validation is completed annually in accordance with the Anti-Money Laundering/ Sanctions model governance framework within the Americas Reporting to the Model Development VP in New York and as part of the wider Americas AML and Anti Financial Crime Team As part of team your main focus is supporting and performing key responsibilities for model development and implementation process Primary Responsibilities Hands-on development and programming Can work independently when task is assigned and deliver a quality product Have good understanding of end-to-end development and implementation methodologies Requirements Education Experience Key Competencies Education Experience Hands on programming experience in Python Spark R HQL Experience with Big data analytics and Business Intelligence and industry standards tools integrated with Hadoop ecosystems e g R Python Experience in Database concepts Experience in Hadoop stack technologies Hive Impala Spark Oozie Map Reduce Experience in source control technologies like SVN/Git Experience in continuous integration software like Control M Cruise Control Knowledge of Java or other OOP programming is plus Good to have experience in Machine Learning AI aaplications Develop regression models and machine learning models Perform end-to-end model development including data cleansing transformation variable selection parameters tuning validation etc Excellent written and communications skills Mindy Passner 201-946-1777/4009Job Type Contract Pay $70 00 $72 00 per hour Schedule Monday to Friday Work Remotely Temporarily due to COVID-19
1,Principal Data Scientist,data scientist,/pagead/clk?mo=r&ad=-6NYlbfkN0C8DhssTksZ4tAWhh8LVIFF2qionQVVpONm6qYGpiaOiVRjP1y_hF87cbtISgr-sRugD2HkhaRuC87HUJ0kDSevOgx7Ah3OXa9KaEjyoEmdKCosu21oxImo67TYSvVhbkFpJazMnCFzmaf9AHO-YR1N7do7FWnrKDED75NfPZjjRqqqhrPteM6Nmw6pXcYL7e_ExzEw3YqMwsghmBmk5BQL-0vM4HjqFxSIMMk4cqy13z4V02tYdb5ZS4dG6Z_nr7JtNokG_tf09R65ylUL-9VOsK3qIwNqLFID-N0yCmwBvReySSiO_xohG1kEoveq0_c2Chbhy1oXjlCA6Jq2kdWv5lWKMSKTfs5uAW_72rftSLmZdGGeZbzQmy4v4XIJh8-cyVUPUeBvAYvuxLknas7coc-JGMjwnTg4-_6e5oChH0JStbYzzl_nsTxS6GtO72FnkzmaJ7x0OTjRagvGdtP3j98EdEAmjfi0pEj36P8FL34Uh4Ti6Z6vamc9pJh6PLH261NYfmoir40hSWCM4_JMA08HnifGleAiYD6DXjhifEbjxDKR5ZkqXd-BETJIydzGefLlr5rCfpfyeSVbC5UBBKTWKZsyToAPPP32cGyf-w==&p=3&fvj=0&vjs=3,At Bristol Myers Squibb we are inspired by a single vision transforming patients' lives through science In oncology hematology immunology and cardiovascular disease and one of the most diverse and promising pipelines in the industry each of our passionate colleagues contribute to innovations that drive meaningful change We bring a human touch to every treatment we pioneer Join us and make a difference Summary Principal Data Scientists will work with key R D leaders to extract insight from complex clinical translational and real-world data They will have the opportunity to work on complex data science problems including modeling techniques to interpret infer and recommend based on insights from data Responsibilities Formulates implements tests and validates predictive models and implements efficient automated processes for producing modeling results at scale Creates robust models based on statistical and data mining techniques to provide insights and recommendations based on large complex data sets Presents stories told by data in a visually appealing and easy to understand manner Contributes to the development of junior data scientist by providing mentorship and coaching as well as developing training curriculum for the broader organization Responsible for collaborating with cross functional teams including but not limited to clinicians data scientist translational medicine scientist statisticians and IT professionals Proactively builds partnerships with specialist functions and global counterparts to maximize knowledge and available resources Manages and coordinates limited resources to produce quality deliverables within timelines for competing priorities Acts as a resource/mentor to study team members both internally and externally Requirements Ph D in quantitative sciences computer science math statistics and engineering preferred +6 years experience in healthcare or pharmaceutical is preferred but not required Strong knowledge of programing languages with a focus on machine learning Python Spark R Tensorflow Sagemaker etc Ability to summarize technically/analytically complex information for a non-technical audience Demonstrated ability to work in a team environment with good interpersonal communication writing and organizational skills Outstanding technical and analytic skills proficient at understanding and conceptualizing business problems and implementing analytic or decision support solutions Around the world we are passionate about making an impact on the lives of patients with serious diseases Empowered to apply our individual talents and diverse perspectives in an inclusive culture our shared values of passion innovation urgency accountability inclusion and integrity bring out the highest potential of each of our colleagues Bristol Myers Squibb recognizes the importance of balance and flexibility in our work environment We offer a wide variety of competitive benefits services and programs that provide our employees with the resources to pursue their goals both at work and in their personal lives 
2,Statistical Methodology/Sr. Principal Data Scientist,data scientist,/pagead/clk?mo=r&ad=-6NYlbfkN0C8DhssTksZ4tAWhh8LVIFF2qionQVVpONm6qYGpiaOiVRjP1y_hF87cbtISgr-sRugD2HkhaRuC9LSR4jlaSNBpPYb9QjFJC0-ulncMok5-jLa5LX-EBfIhwoP5Ut5Ai_7Jl4OfLYfEL9fqRGYzC3-vkM72OzAW47xV4GwhEqprIFl2N8WsVvIIdAaOJKR_eF9YHtfJ4BHdj-jqe01_81S9O9-urItLxjKbIXt8e1xuixuQbOy92lLRZvxIpLxLhzT7MA-cjxfxEI82TogcpHwMyTMvRNAqv6HzJDHPmYG0BBZmf-kXQO_2ZsL0dz8r-xz7te4TP4UusVy-eVFxMNCvhCimQv8sNOwm-FX2zp7JvdpGzBJug1KzE_70yknGhYZ-8ms0e7bwfzM3xRoeSIYbZ8zywHDkD6xp2VFJ8fhB5Z0Xz6p9NGXhHa1JoncYo77arUcYbiFovpErryNSqPjChND13R4G88g-0Nxu1LfsyTeVfIgUiAuNn8oyNaAc8PAxhZQxt2B4aFA1qtVzLQNF3XZbvBrR3hb_i76qxZr22HlVwz3xOS6qdDwbzE4qPn8iJPoMqLAD03ao5JxQJoCs19uWLh--Ux_T8U09fKJlg==&p=4&fvj=0&vjs=3,At Bristol Myers Squibb we are inspired by a single vision transforming patients' lives through science In oncology hematology immunology and cardiovascular disease and one of the most diverse and promising pipelines in the industry each of our passionate colleagues contribute to innovations that drive meaningful change We bring a human touch to every treatment we pioneer Join us and make a difference Statistical methodologists/Sr Principal Data Scientist will work with key R D leaders to extract insight from complex clinical translational and real-world data They will have the opportunity to work on complex data science problems including modeling techniques to interpret infer and recommend based on insights from data Roles and Responsibilities Formulates implements tests and validates predictive models and implements efficient automated processes for producing modeling results at scale Ability to manage multiple engagements with partners and start ups in the field of data science Leads cross-functional ideation sessions including hackathons and datathons for the R ED and GDD organizations Contributes to the development of junior data scientist by providing mentorship and coaching as well as developing training curriculum for the broader organization Responsible for collaborating with cross functional teams including but not limited to clinicians data scientist translational medicine scientist statisticians and IT professionals Proactively builds partnerships with specialist functions and global counterparts to maximize knowledge and available resources Manages and coordinates limited resources to produce quality deliverables within timelines for competing priorities Acts as a resource/mentor to study team members both internally and externally Requirements Ph D in quantitative sciences computer science math statistics and engineering 8+ years experience in healthcare or pharmaceutical is preferred but not required Strong knowledge of programing languages with a focus on machine learning Python Spark R Tensorflow Sagemaker etc Ability to summarize technically/analytically complex information for a non-technical audience Demonstrated ability to work in a team environment with good interpersonal communication writing and organizational skills Outstanding technical and analytic skills proficient at understanding and conceptualizing business problems and implementing analytic or decision support solutions Around the world we are passionate about making an impact on the lives of patients with serious diseases Empowered to apply our individual talents and diverse perspectives in an inclusive culture our shared values of passion innovation urgency accountability inclusion and integrity bring out the highest potential of each of our colleagues Bristol Myers Squibb recognizes the importance of balance and flexibility in our work environment We offer a wide variety of competitive benefits services and programs that provide our employees with the resources to pursue their goals both at work and in their personal lives 
3,2021 Software Engineering & Technology University Program (S.E.T.U.P) – Data Scientist,data scientist,/rc/clk?jk=8c008be29209a583&fccid=b4048be2884af072&vjs=3,Software Engineering Technology University Program S E T U P The Software Engineering Technology University Program S E T U P is a pipeline to recruit develop and retain high-potential entry-level technology professionals who are prepared and positioned to contribute to the successful execution of BNY Mellon’s technology strategy and initiatives The 2021 S E T U P program will begin in Winter 2021 and Summer 2021 Program At A Glance Assignments across various job functions within Technology* that combine learning with skill development through practical work and projects; Extensive training curriculum and ongoing learning assignments that will help develop technical professional interpersonal and leadership skills; and Career development and networking support from a host of corporate leaders including executive mentors peer mentors business stakeholders and a dedicated program manager Upon successful completion of the program and based on overall business need S E T U P participants will be matched to a full-time role taking into account factors such as business requirements analyst preferences and overall performance throughout the program Program Locations US Pittsburgh PA *New York NY * Jersey City NJ Program Highlights Small selective program size that allows for more personal attention and support; Participants can further develop technical skills/expertise enhance leadership abilities build networks across the organization and accelerate their careers; Robust onboarding and training curriculum designed specifically for S E T U P participants; Visibility and exposure to senior leaders in small cohorts and/or one-to-one meetings; Full commitment from top-level management to make our program the premier technology talent pipeline program within the financial services industry Data Scientist Primary Responsibilities Participate on a team to apply scientific method to find solutions to real business problems Perform data analysis feature engineering and advanced methods to prepare and develop decisions from data Leverage simple to advanced data techniques to support the team to deliver data analytic products for the firm Performs analytics in support of the identification and understanding observed business outcomes Collaborates with others to deliver on hypothesis testing and developing the mathematics to describe the business opportunity Communicates effectively with analytics staff Develops analytics prepares and delivers both informational and decision-seeking presentations Stays abreast of organization and management changes and has in-depth knowledge of company practices relevant to data science products Maintains knowledge of company's total computing environment and planned changes in order to develop meaningful data science products Grow and develop skills across the 3 domain specialties model science feature science and Insight science capabilities Stressing expertise in the core functional areas Computer Programming Math Analytic Methodology Distributed computing and communications of complex results Qualifications Program Eligibility/Qualifications Bachelor's degree required Candidate is typically a recent college hire with a bachelor's degree in computer science engineering or a related discipline 0-3 years of experience in software development preferred Previous technology internship is a plus BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer Minorities/Females/Individuals With Disabilities/Protected Veterans Our ambition is to build the best global team – one that is representative and inclusive of the diverse talent clients and communities we work with and serve – and to empower our team to do their best work We support wellbeing and a balanced life and offer a range of family-friendly inclusive employment policies and employee forums Primary Location United States-New York-New York Internal Jobcode 96003 Job Information Technology Organization Office of CIO-HR18027 Requisition Number 2007814
4,"2021 Student Technology, Agile & Readiness Training (S.T.A.R.T) Program – Data Scientist Track",data scientist,/rc/clk?jk=65f3ff3a5da69d5d&fccid=b4048be2884af072&vjs=3,Student Technology Agile Readiness Training S T A R T Program BNY Mellon’s S T A R T program provides high-potential students with a well-rounded rewarding internship experience as well as an inside look into what it’s like to work for a global financial services organization that has been innovating and serving clients since 1784 We provide a best-in-class experience for our interns with engaging Agile Projects while providing first-hand knowledge of our culture people business and impact within the marketplace S T A R T interns will participate in a robust technical experience in Java Script Python CSS Java and more From day one summer analysts are immersed in BNY Mellon’s innovative and dynamic company culture as they will receive Meaningful and challenging work assignments; Networking opportunities with peers senior leaders and executives; Exposure to different areas of business; Professional Learning Opportunities; Problem-solving communications time management and leadership training Comprehensive professional etiquette and financial services fundamentals training; and Understanding of BNY Mellon’s commitment to diversity and inclusion Program At A Glance 10-week U S summer internship assignment within an identified line of business or division of BNY Mellon* that combines learning with skill development through practical work and projects; Orientation/onboarding and virtual training curriculum; plus Career development and networking support from a host of corporate leaders senior mentors peer mentors business stakeholders and a dedicated program manager Potential Program Locations US Pittsburgh PA * New York NY * Jersey City NJ Program Highlights Small selective program size that allows for more personal attention and support; Participants can further develop their technical and business acumen skills/expertise enhance leadership abilities and build networks across the organization; Robust onboarding and training curriculum designed specifically for summer analysts; Full commitment from top-level management to make our program the premier internship/talent pipeline program within the financial services industry; Opportunity to apply for one of our full-time pipeline leadership programs including the Emerging Leaders Program ELP Operations Campus Analyst Program OCAP and Software Engineering Technology University Program S E T U P Post-S T A R T Opportunities S T A R T aims to create a pipeline of talent to feed entry-level pipeline program and entry-level full-time position hiring needs Upon successful completion of the program as well as overall performance and business need there are potential full-time employment opportunities that our S T A R T interns may apply for including the Emerging Leaders Program ELP Operations Campus Analyst Program OCAP and Software Engineering Technology University Program S E T U P and full-time direct hire roles Data Scientist Primary Responsibilities Participate on a team to apply scientific method to find solutions to real business problems Perform data analysis feature engineering and advanced methods to prepare and develop decisions from data Leverage simple to advanced data techniques to support the team to deliver data analytic products for the firm Performs analytics in support of the identification and understanding observed business outcomes Collaborates with others to deliver on hypothesis testing and developing the mathematics to describe the business opportunity Communicates effectively with analytics staff Develops analytics prepares and delivers both informational and decision-seeking presentations Stays abreast of organization and management changes and has in-depth knowledge of company practices relevant to data science products Maintains knowledge of company's total computing environment and planned changes in order to develop meaningful data science products Grow and develop skills across the 3 domain specialties model science feature science and Insight science capabilities Stressing expertise in the core functional areas Computer Programming Math Analytic Methodology Distributed computing and communications of complex results Qualifications Program Eligibility/Qualifications Enrollment in a 4-year undergraduate U S degree program with a strong focus on business-related and/or technology-related majors Rising junior or senior U S graduating in Dec 2021 or May 2022 Minimum cumulative GPA of 3 0 or better U S Well-rounded and balanced background including demonstrated leadership abilities Strong written and oral communication skills For over 230 years the people of BNY Mellon have been at the forefront of finance expanding the financial markets while supporting investors throughout the investment lifecycle BNY Mellon can act as a single point of contact for clients looking to create trade hold manage service distribute or restructure investments safeguards nearly one-fifth of the world's financial assets BNY Mellon remains one of the safest most trusted and admired companies Every day our employees make their mark by helping clients better manage and service their financial assets around the world Whether providing financial services for institutions corporations or individual investors clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets It's the collective ambition innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart Make your mark bnymellon com/careers Client Technology Solutions provides our business partners with client-focused technology-based solutions These enhance their ability to be successful through world-class software solutions and leading-edge infrastructure Client Technology Solutions provides employees with the tools and resources to enhance their professional qualifications and careers BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer Minorities/Females/Individuals With Disabilities/Protected Veterans Our ambition is to build the best global team – one that is representative and inclusive of the diverse talent clients and communities we work with and serve – and to empower our team to do their best work We support wellbeing and a balanced life and offer a range of family-friendly inclusive employment policies and employee forums Primary Location United States-New York-New York Internal Jobcode 05375 Job Information Technology Organization Office of CIO-HR18027 Requisition Number 2007842
5,Healthcare Payer Data Scientist Consultant,data scientist,/rc/clk?jk=f6a6c1895d0d67d8&fccid=a4e4e2eaf26690c9&vjs=3,We are Applied Intelligence the people who love using data to tell a story We’re also the world’s largest team of data scientists data engineers and experts in machine learning and AI A great day for us? Solving big problems using the latest tech serious brain power and deep knowledge of just about every industry We believe a mix of data analytics automation and responsible AI can do almost anything—spark digital metamorphoses widen the range of what humans can do and breathe life into smart products and services Want to join our crew of sharp analytical minds? Visit us here to find out more about Applied Intelligence You are A data maven with serious analytical and statistical chops You know how to take massive amounts of data and find the insights our clients need to help their companies do more The work Use statistics data mining machine learning and deep learning techniques to deliver data driven insights for the healthcare industry Work with Accenture teams and clients to understand their challenges and create solutions Be a thought leader for your team on projects and about leading technologies Stay on top of trends in AI Here’s what you need At least 2 years designing and building healthcare data analysis solutions for the business payer or provider industry At least 2 years using new developments in AI machine learning cognitive systems and robotics to build amazing analytical tools At least of 2 years working with tools like SAS Python SPSS R or SQL At least 2 years working with data integration tools to streamline processes in platforms like Cerner EMR Apache Spark Map Reduce Mongo DB and Couchbase Bonus points if You can use data mining techniques to solve real world business problems You’re fluent in SQL and scripting languages like Python and Perl You know how to use statistical analysis data visualization and cleaning tools and techniques You’ve designed and built data analysis solutions for a business payer or provider You have a Masters or MBA in statistics or mathematics Double bonus points if you have a Ph D in analytics statistics or another quantitative discipline Applicants for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States and with Accenture i e H1-B visa F-1 visa OPT TN visa or any other non-immigrant status Candidates who are currently employed by a client of Accenture or an affiliated Accenture business may not be eligible for consideration Accenture is an EEO and Affirmative Action Employer of Females/Minorities/Veterans/Individuals with Disabilities Equal Employment Opportunity All employment decisions shall be made without regard to age race creed color religion sex national origin ancestry disability status veteran status sexual orientation gender identity or expression genetic information marital status citizenship status or any other basis as protected by federal state or local law Accenture is committed to providing veteran employment opportunities to our service men and women 
6,Senior Data Scientist,data scientist,/rc/clk?jk=6292c482010b6d28&fccid=0bed8e17bc113980&vjs=3,Johnson Johnson Health and Wellness Solutions Inc is recruiting for a Senior Data Scientist located in New Brunswick NJ at the World Headquarters Johnson Johnson Health and Wellness Solutions is an enterprise group supporting the Pharmaceutical Medical Devices Consumer Global Public Health and Global Community Impact organizations in Johnson Johnson and is focused on improving health outcomes by leveraging the social behavioral and data sciences You will report to the VP Behavior Science and Advanced Analytics and be part of the world class Behavior Science Team In this role you will be a disciplined-thinker highly motivated self-starter who possesses strong skills in data analysis data modeling and the ability to communicate complex processes and findings to both scientific and business audiences You will Analyze health data run descriptive statistics generate prior distributions explore relationships correlation covariance causality structural equation modeling and build Bayesian Influence diagrams Develop Predictive models with Deep Learning networks Gradient Boosting Random Forest SVM and Logistic Regression using both generative and discriminative algorithms Define dynamics in the system as difference equations Markovian processes AR/ARMA and develop Optimization algorithms e g Decision theory finite horizon problems Kalman filter Particle filter Perform Sub-group analysis clustering agglomerative clustering graph based clustering and PCA analysis Define and develop features selections Ridge/Lasso and ranking Develop algorithms to achieve the desired health outcomes and improved health behavior in Big data environment SPARK and SCALA Standardize nominal categorical and numerical data to ensure data integrity Partner with Scientists Engineers and the business to collect and organize healthcare data and to generate insights that lead to improved health outcomes Build dashboards to visualize near real-time insights for targeted audience including scientists and commercial Author peer reviewed journal articles and white papers related to the Data Science solutions Thriving on a diverse company culture celebrating the uniqueness of our employees and committed to inclusion Proud to be an equal opportunity employer Qualifications A minimum of a Ph D in Computer Science Statistics Electrical Engineering and/or related discipline is required Post Doc research experience in health related topic is preferred A minimum of two years of experience is required; preferably in algorithm development predictive models and/or optimization technique Strong Programming skills in any of the following is required Python SQL Java C++/C Scala Matlab R Skills in Machine Learning is required Experience in Deep Learning Bayesian inference and Markovian processes is preferred Experience in Text Mining and Neuro Linguistic Programming NLP is preferred Understanding of and ability to apply research in real world problems to generate actionable insights is required Demonstrate professional scholarly activity conference presentations published in peer-reviewed publications / journals is required Active listening skills and deep analytical ability are required A passion for excellence and exceeding customer expectations is required This position is based in New Brunswick NJ and may require up to 5% primarily domestic travel Primary Location United States-New Jersey-New Brunswick- Organization Johnson Johnson Health and Wellness Solutions Inc 6173 Job Function R D Requisition ID 9085200727
7,Data Scientist,data scientist,/company/GardenStar-Group/jobs/Data-Scientist-3140255de70ba857?fccid=8b4ec70746765f99&vjs=3,2020 Summer Research Internship Program – Data Scientist Garden Star Group is a Short Hills based Prop Tech firm founded by legendary hedge fund manager Eugene Xu and real estate entrepreneur Eden Cai The founding members include senior executives from real estate finance and technology industries Facing drastic industry changing we believe that the future lies in integrating new data technology into real estate and finance Our Short Hills NJ office is offering summer research internship opportunities to college students to explore new paths If you have strong intellectual curiosity and an entrepreneurial mindset take the chance and shape the future finance together with us Job Description Data Scientist Job type Part-time Hours 20 hours/week Salary Unpaid Help analyze large amounts of data to discover trends and patterns Assist in building predictive models and machine-learning algorithms Propose solutions and strategies to business challenges Collaborate with other departments Required Qualifications A Bachelor’s degree in Computer Science Engineering or relevant field Proficient in SQL and Python Strong math skills e g statistics algebra Understanding of machine-learning Strong work ethic and great communication and collaboration skills Analytical mind and business acumen and problem-solving aptitude Ability to multitask with strict time constraints budgets and business goals Preferred Qualifications Experience as a Data Scientist or Data Analyst Experience in data mining Familiarity with Scala Java or C++Excellent communication and presentation skills Other Information 2020 Fall Internship Program will commence in late August Less than 10 hours/week on-site required Potential Full-time position available at the end of the internship The application deadline is Aug 15th 2020Job Type Part-time Pay $0 00 per hour Schedule Monday to Friday COVID-19 considerations Less than 10 hours/week on-site Education Bachelor's Required Location Short Hills NJ Required Work authorization United States Required Company's website https //www gardenstargroup com Work Remotely Temporarily due to COVID-19
8,Data Scientist,data scientist,/rc/clk?jk=c7c8b0f01fa4b7cd&fccid=e2f3ea21def9b55a&vjs=3,LS Technologies is seeking a Data Scientist to support the Federal Aviation Administration FAA at the William J Hughes Technical Center in Atlantic City NJ Qualified candidates will have experience with data modeling and analysis Responsibilities Contributes to a cross-disciplinary team focused on high fidelity modeling and simulation statistical analysis engineering advanced programming and computing techniques Performs data-centric modeling analysis and reporting of aviation concepts Performs experimental designs and execution Participates in all aspects of the data science pipeline Procurement Wrangling Analysis Communication Maintenance Qualifications Bachelor's Degree in operations research computer science engineering business mathematics information systems or management science or 5 years of relevant experience Minimum 2 years' experience in a professional environment Required experience Strong statistical background Data processing / wrangling clustering/classification data mining summarization Exploratory and qualitative analysis regression clustering Diagnostic checking Data reporting and documentation Data stewardship including cleaning/provenance/workflow/process documentation R/Python Apache Spark 2 0+ SQL/Relational D Bs Preferred but not required experience Data modeling Data visualization JS Python R Predictive analysis tools/algorithms Cloud-Based Computing Amazon Web Services Google Cloud Platform Microsoft Azure etc Hadoop Git Hub/Git Lab JMP No SQL / Document Stores Object-oriented design/development and related principles Must be able to obtain a Public Trust Clearance LS Technologies LLC provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race color religion age sex national origin disability status genetics protected veteran status sexual orientation gender identity or expression or any other characteristic protected by federal state or local laws This policy applies to all terms and conditions of employment including recruiting hiring placement promotion termination layoff recall transfer leaves of absence compensation and training 
9,"Sr Manager, Medical Data Scientist",data scientist,/pagead/clk?mo=r&ad=-6NYlbfkN0Djv5ulhFipNEw5p1U1XRpcPnsPY-QsRV1O8z47KltT3Hw_9I4yn_sV3aMWeuAKZmZ7B3CoKfGdF3OvXYyB2_CbwaZvoJZ0dB8WnM8wsSWPwLqnDL2vtdQ6Ouzpl1UlzCDB9lQlzXMW7NIYHfjt7K_KYjqwl4TeHn5snXQdmrhaTFlgksA5W8Y_rkGOvjs0bO1eF7yN_52LLT3K8Wd3cOiVJHJOPzdnDrMWfddVxx8K37mNqeR90rX42FQ-Fziax62hZvIP1byrrzuBWT1sIFYdoQygAtFhwQ87O6mdUEmUiDiB2n2XkcpmcRvrAB3OfXth552x4p5Z7dMi5ntCsSi_bZyTZSOwDjJGrPU62f5hBdc9YwpRqEZwVqh5tOtYBbrM9FNuaQGpzQ==&p=4&fvj=0&vjs=3,At Eisai satisfying unmet medical needs and increasing the benefits healthcare provides to patients their families and caregivers is Eisai's human health care hhc mission We're a growing pharmaceutical company that is breaking through in neurology and oncology with a strong emphasis on research and development Our history includes the development of many innovative medicines notably the discovery of the world's most widely-used treatment for Alzheimer's disease As we continue to expand we are seeking highly-motivated individuals who want to work in a fast-paced environment and make a difference If this is your profile we want to hear from you Job Summary Under the guidance of the Head of Clinical Safety Data Review the Sr Manager Coding Clinical Data Review will manage and review serious adverse events from clinical databases to ensure completeness of patient data; review provide guidance to data management and medical data specialists in reconciliation of adverse events between clinical and pharmacovigilance databases; guide medical data specialists in performing aggregate review of adverse events of special interest and assess discrepancies of study medication and adverse events action taken This individual will ensure that study and task milestones are tracked and assignments are allocated appropriately The role requires the ability to write narratives or case descriptions as required by regulatory agencies Essential Functions Supervise members of the coding and clinical data review in their designated assignments Review and approve CRF designs related to coding and safety related field of the CRF Review and approve appropriate codes of reported terms in application systems if needed Maintain coding guidelines and conventions/ safety data review guidelines and writing guidelines and narrative writing Review and assist in SAE reconciliation to ensure relevant safety details are in the Clinical database Provide guidance to data management in reconciliation of adverse event between clinical and pharmacovigilance database Manage and review serious adverse events from clinical database to ensure completeness of patient data Perform aggregate review of adverse events of special interest and assess discrepancies of study medication and adverse events action taken Approve queries by clinical data review group and support clinical summary writing process as needed Review clinical summaries prior to medical review ensuring accurate data is captured and the description of events are medically acceptable Coordinates clinical summaries for regulatory submission Participate in the development of standard procedures and related documents as appropriate Collaborate with system administrators for issues relating to queries in In Form and Data Operations for listings and narrative templates Participate in the development and implementation of department standards and documents as needed Requirements Master degree in medical or sciences field is required Minimum 7 years' experience in Data review At least 2 years' experience in Coding Experience in Clinical Research /Clinical Safety in Clinical Research desirable Familiar with Med DRA and WHODD or other coding dictionary Experience with Clinical trial Systems e g In Form or review tools like J-review/ I-review/Spot fire or any coding application is desirable Experience in supporting Neurology and/or Oncology studies Experience in writing narratives for submission and review of CS Rs or submission Eisai is an equal opportunity employer and as such is committed in policy and in practice to recruit hire train and promote in all job qualifications without regard to race color religion gender age national origin citizenship status marital status sexual orientation gender identity disability or veteran status Similarly considering the need for reasonable accommodations Eisai prohibits discrimination against persons because of disability including disabled veterans Eisai Inc participates in E-Verify E-Verify is an Internet based system operated by the Department of Homeland Security in partnership with the Social Security Administration that allows participating employers to electronically verify the employment eligibility of all new hires in the United States Please click on the following link for more information Right To Work E-Verify Participation
