,title,jobclass,url,jobdescription
0,Data Scientist,data scientist,/rc/clk?jk=5247c00d10cc43e8&fccid=5b63e967a659d38e&vjs=3,"Data Scientist Based in Manhattan, NY Competitive base salaries | Excellent benefits package | Global hyper-growth business I am looking to speak with exceptional Data Scientists to join our world-class innovation team at Wynden Stark LLC. You will be working collaboratively with other Data Scientists and Back-End Engineers to invent automated tools and services that incorporate probabilistic models, thereby adding value both to our internally business & external clients. You will develop and deploy state-of-the-art deep learning algorithms into real-time production environments, that automate processes in the Recruitment & HR sectors. Qualifications & Skills Required Graduate degree in a quantitative discipline, with a minimum of 2 years' hands-on industry experience Specialization in deep neural networks and/or natural language processing Excellent programming skills in Python in particular any data-related packages Professional experience or publication-level experience in the development, training and validation of machine learning models applied to large, high-dimensional data Experience with artificial neural networks; deep learning libraries; natural language processing; AP Is; cloud platforms; large-scale data tools; advanced mathematics We offer Attractive compensation & benefits package health, vision, dental, pension Generous PTO & Volunteer Day options High autonomy and flexibility Opportunities for travel across our global locations Company incentive trips based off individual performance Weekly cultural-driven activities Internal and external company events hosted on-site Personal brand growth opportunities publishing, patents, present at conferences, blogs Email kate. drury@gqrgm. com for a confidential discussion about your career. "
1,DATA SCIENTIST,data scientist,/rc/clk?jk=b3cdbfc56027234b&fccid=8524d30bbfaa4720&vjs=3,"Description On Point is a connected solutions business within Koch Engineered Solutions, a unit of Koch Industries, Inc. , that leverages unique engineering capabilities and expertise in combination with digital technology. The On Point solutions portfolio drives advanced, actionable insights to help customers identify root causes, analyze performance, and optimize equipment as well as plant operations to improve efficiency, yield, reliability, environmental performance, and safety. On Point Digital Solutions is looking for a Data Scientist to join our competitive data analytics and software development team. On Point is a new Koch engineered digital solutions company, focused to provide actionable insights for our customers to enable real time monitoring and optimization of their operations. On Point combines our deep subject matter expertise in combustion, distillation, separation, filtration with digital technology to deliver new solutions and technology which will create value for our customers. The Data Scientist will work with a dynamic team and be responsible for delivering A. I. algorithms to solve problem in industrial arena and expand the capability of our analytics platform to deploy the developed solutions at scale. A Day In The Life Typically Includes Research, design and develop machine learning algorithms as part of the product development team Perform Root Cause Analysis leveraging data science on large industrial problems related to process control, process engineering, and discrete manufacturing environments Collaborate with our process engineering teams as the expert in applied data science and machine learning techniques Use industry technologies, tools, and data mining frameworks for data analytics including data visualization for analyzing, optimizing, developing hypotheses, and drawing conclusions What You Will Need Basic Qualifications 3+ years of industry experience analyzing data sets and applying machine learning to assist decision making and solve industrial problems 3+ years of experience building and deploying scalable A. I. models using state of the art learning algorithms. 3+ years of experience on building models from ground up using python and packages like sklearn, pandas, xgboost, tensorflow and keras as well as tools such as Jupyter notebook Bachelor's Degree in Mathematics, Computer Science, Computer Engineering, Physics, Data Science, Engineering, or Statistics from an accredited institution What Will Put You Ahead Preferred Qualifications Master’s degree or Ph D in Mathematics, Computer Science, Computer Engineering, Physics, Data Science or Statistics from an accredited institution Ability to comprehend research papers and implement it 2+ years of experience working with web services like AWS, Azure or Google cloud. Experience deploying models to production and maintain models in a commercial setup The ability to communicate results clearly and a focus on driving impact Salary and benefits commensurate with experience. Equal Opportunity Employer. Except where prohibited by state law, all offers of employment are conditioned upon successfully passing a drug test. This employer uses E-Verify. Please visit the following website for additional information www. kochcareers. com/doc/Everify. pdf"
2,Data Scientist Senior Consultant - Remote NOW!,data scientist,/rc/clk?jk=e769ff6cbd5e40be&fccid=105ecfd0283f415f&vjs=3,"Data Scientist Senior Consultant Remote NOW!049489 Senior Consultant Data Scientist Overview The Data Science & Analytics practice group at Capgemini is expanding its footprint…rapidly. As part of the fastest growing digital practice within Capgemini, we work with the latest advanced analytics, machine learning, and big data technologies to extract meaning and value from data in a number of different industries ranging from Media & Entertainment to Life Sciences and everywhere in-between. Our team has worked with geospatial data, on social media sentiment analysis, built recommendation systems, created image classification algorithms, solved large-scale optimization problems, and harnessed the massive influx of data generated by the Io T. The Data Science & Analytics group is the fastest growing digital practice at Capgemini demanding agile innovation. As part of the Data Science & Analytics group, you will work in a collaborative environment with internal and client resources to understand key business goals, build solutions, and present findings to client executives while solving real-world problems. If you are passionate about solving problems in the realm of cognitive computing, big data, and machine learning while utilizing business acumen, statistical understanding, and technical know-how, the Data Science & Analytics practice group at Capgemini is the best place to grow your career. Role & Responsibilities Work with team to build out data science use case Po C related to staffing and new assignments. Leverage machine learning models and visualization tools. Assess current state data science governance model and architecture and propose future state Co E model. Leverage machine learning models and visualization tools. Assess current state data science governance model and architecture and propose future state Co E model. Work in collaborative environment with global teams to drive client engagements in a broad range of industries Aerospace & Defense, Automotive, Banking, Consumer Products & Retail, Financial Services, Healthcare, High Tech, Industrial Products, Insurance, Life Sciences, Manufacturing, Public Sector, Telecom, Media & Entertainment, and Energy & Utilities. Quickly understand client needs, develop solutions, and articulate findings to client executives. Provide data-driven recommendations to clients by clearly articulating complex technical concepts through generation and delivery of presentations. Analyze and model both structured and unstructured data from a number of distributed client and publicly available sources. Perform EDA and feature engineering to both inform the development of statistical models and generate improve model performance and flexibility. Design and build scalable machine learning models to meet the needs of given client engagement. Assist with the mentorship and development of consultants. Assist in growing data science practice by meeting business goals through client prospecting, responding to proposals, identifying and closing opportunities within identified client accounts Requirements 3-5 years professional work experience as a data scientist or on advanced analytics / statistics projects. Machine Learning R/Python programming Natural Language processing Text analytics Visualization platforms including Tableau and/or Power BI Ability to generate professional visualizations and reporting Ability to interface with client SM Es Ability to understand analytics business requirements and develop custom models and reporting Experience in consulting environment a plus Skills with Neo4J/Cyper Master’s degree from top tier college/university in Computer Science, Statistics, Economics, Physics, Engineering, Mathematics, or other closely related field. Excellent Python skills Experience with entity matching , record linkage and data cleansing probabilistic distance Experience with blocking methods Experience with Py Spark Ph D preferred. Strong understanding and application of statistical methods and skills distributions, experimental design, variance analysis, A/B testing, and regression. Statistical emphasis on data mining techniques, Bayesian Networks Inference, CHAID, CART, association rule, linear and non-linear regression, hierarchical mixed models/multi-level modeling, and ability to answer questions about underlying algorithms and processes. Experience with both Bayesian and frequentist methodologies. Mastery of statistical software, scripting languages, and packages e. g. R, Matlab, SAS, Python, Pearl, Scikit-learn, Caffe, SAP Predictive Analytics, KXEN, ect. . Knowledge of or experience working with database systems e. g. SQL, No SQL, Mongo DB, Postgres, ect. Experience working with big data distributed programming languages, and ecosystems e. g. S3, EC2, Hadoop/Map Reduce, Pig, Hive, Spark, SAP HANA ect. Expertise in machine learning algorithms and experience using the following ML techniques Logistic Regression, Decision Trees, Random Forests, Gradient Boosting, SV Ms, Time Series, K Means, Clustering, NMF . Preferred experience with NLP, Graph Theory, Neural Networks RN Ns/CN Ns , sentiment analysis and Azure ML. Experience building scalable data pipelines and with data engineering/ feature engineering. Preferred experience with web-scraping. Experience building and deploying predictive models. Experience with Power Point and ability to clearly articulate findings and present solutions. Excellent team-oriented and interpersonal skills. Visit us at www. capgemini. com. People matter, results count. Job Programmer/Analyst Schedule Full-time Primary Location US-NY-New York Organization I&D"
3,Senior Data Scientist,data scientist,/rc/clk?jk=d9463ba6254007f7&fccid=be3b11aa573faee7&vjs=3,"Leads and participates in the development, validation and delivery of algorithms, statistical models and reporting tools. Solves complex analytical problems. Fundamental Components Develops and/or uses algorithms and statistical predictive models and determines analytical approaches and modeling techniques to evaluate scenarios and potential future outcomes. Performs analyses of structured and unstructured data to solve multiple and/or complex business problems utilizing advanced statistical techniques and mathematical analyses and broad knowledge of the organization and/or industry. Collaborates with business partners to understand their problems and goals, develop predictive modeling, statistical analysis, data reports and performance metrics. Develops and participates in presentations and consultations to existing and prospective constituents on analytics results and solutions. Interacts with internal and external peers and managers to exchange complex information related to areas of specialization. Use strong knowledge in algorithms and predictive models to investigate problems, detect patterns and recommend solutions. Use strong programming skills to explore, examine and interpret large volumes of data in various forms. Background Experience Demonstrates strong ability to communicate technical concepts and implications to business partners. Anticipates and prevents problems and roadblocks before they occur. Strong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources. Demonstrates proficiency in most areas of mathematical analysis methods, machine learning, statistical analyses, and predictive modeling and in-depth specialization in some areas. 5 or more years of progressively complex related experience. Bachelor's degree or equivalent work experience in Mathematics, Statistics, Computer Science, Business Analytics, Economics, Physics, Engineering, or related discipline. Master’s degree or Ph D preferred. Education Master's degree Percent of Travel Required 0 10% Business Overview Aetna, a CVS Health company, we are joined in a common purpose helping people on their path to better health. We are working to transform health care through innovations that make quality care more accessible, easier to use, less expensive and patient-focused. Working together and organizing around the individual, we are pioneering a new approach to total health that puts people at the heart. We are committed to maintaining a diverse and inclusive workplace. CVS Health is an equal opportunity and affirmative action employer. We do not discriminate in recruiting, hiring or promotion based on race, ethnicity, gender, gender identity, age, disability or protected veteran status. We proudly support and encourage people with military experience active, veterans, reservists and National Guard as well as military spouses to apply for CVS Health job opportunities. "
4,"Data Scientist, Medidata - Core",data scientist,/rc/clk?jk=f44f655a0cafacd3&fccid=3e34ac4ae73849ba&vjs=3,"Medidata is leading the digital transformation of life sciences, creating hope for millions of patients. Medidata helps generate the evidence and insights to help pharmaceutical, biotech, medical device and diagnostics companies, and academic researchers accelerate value, minimize risk, and optimize outcomes. More than one million registered users across 1,400+ customers and partners access the world's most-used platform for clinical development, commercial, and real-world data. Medidata, a Dassault Systèmes company, is headquartered in New York City and has offices around the world to meet the needs of its customers. Discover more at www. medidata. com. We know that diverse teams win and are fully committed to selecting leaders and employees that represent the markets in which we operate. We are still led by our Co-founders, Tarek Sherif and Glen de Vries, and have global operations in the US, Europe and Asia with over 2000+ employees. Medidata is making a real difference in the lives of patients everywhere by accelerating critical drug and medical device development, enabling life-saving drugs and medical devices to get to market faster. Our products sit at the convergence of the Technology and Life Sciences industries, one of most exciting areas for global innovation. Nine of the top 10 best-selling drugs in 2017 were developed on the Medidata platform. Medidata’s solutions have powered over 17,000+ clinical trials giving us the largest collection of clinical trial data in the world. With this asset, we pioneer innovative, advanced applications and intelligent data analytics, bringing an unmatched level of quality and efficiency to clinical trials enabling treatments to reach waiting patients sooner. Your Mission Medidata is looking for an experienced data scientist to research and develop predictive models to deliver novel insights for Medidata’s Data Science Platform Suite of products. Data Science Platform is a critical piece of Medidata’s strategy to grow to over one billion in revenue and includes ingestion and export of data in addition to apps that standardize clinical data and run statistical algorithms that unlock the value of our data assets for our customers. Successful candidates will be skilled in analytical/quantitative thinking, structured communication, and excited about building the next horizon of Medidata’s journey of powering smarter treatments and healthier people. Your primary responsibilities will include Solving some of the most complex problems in healthcare, translating complex data into meaningful insights Designing, developing, and validating predictive models for novel medical applications. Evaluating and assessing novel tools, algorithms, and technologies that enable data science capabilities Providing support functions around model-building, including data cleaning and code review Working directly with our team comprised of the brightest minds in technology, research, and mathematics as well as senior interfaces from leading life sciences companies across the globe Your Competencies Ability to translate business challenges into data pipelines & model framework, owning and driving successful projects Strong verbal and written communication skills to articulate highly technical methods to diverse audiences to shape decision-making Expert-level fluency in statistical tools and programming languages to be self-sufficient in handling data Python, R, SQL Professional experience programming in a compiled language C++, C, C#, Java strongly preferred Professional-level competency working in a Unix environment Professional-level competency working with source control management Git Research-level experience in developing predictive modeling algorithms classification, regressions, feature selection etc. for large datasets Your Education & Experience Ph. D. in Math, Statistics, Computer Science, Physics, Engineering, Bioinformatics, or another quantitative field with a strong foundation in statistical methodology and algorithm development; OR Masters in a quantitative field with 3+ years of professional experience in data science. Passionate about staying current with new developments in the data science and machine learning field Ability to work creatively and collaboratively in a fast-paced dynamic environment to propose intelligent solutions Medidata Solutions, Inc. is an Equal Opportunity Employer. Medidata Solutions provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, gender identity, national origin, age, disability status, protected veteran status, or any other characteristic protected by the law. Medidata Solutions complies with applicable state and local laws governing non-discrimination in employment in every location in which the company has facilities. #LI-AS1"
5,"Data Scientist: Bloomingdale's, New York, NY",data scientist,/rc/clk?jk=e4dacfd0f792f2be&fccid=5e6dd49bdb583f94&vjs=3,"Job Overview The Data Scientist will work in the Customer Analytics and database group to develop innovative customer analytics, customer story strategy, and contact optimization tools. The Data Scientist will create practical methods to forecast demand, understand customer preferences, simulate business outcomes, and optimize the marketing investment. The Data Scientist will work closely with cross functional groups to enhance analytical capabilities and develop persuasive interactive visualizations. Essential Functions Answer complex business questions by using appropriate statistical techniques on available data or designing and running experiments to gather data Rapidly develop novel applications of classification, forecasting, simulation, optimization, and summarization techniques Work closely with cross functional teams to encourage statistical best practices with respect to experimental design and data analysis Create compelling interactive visualizations and presentations to enhance decision making capabilities throughout the company Qualifications Education/Experience M. S. or Ph. D. in relevant technical field such as Statistics, Computer Science, Engineering, or Economics Expert knowledge of an analytical tool such as SPARK, R, Python Experience with relational databases and SQL Experience working with large data sets and distributed computing tools such as Hadoop, Map/Reduce, Hive, etc. Familiarity with visualization tools such as Tableau, Power BI or Spotfire Communication Skills Ability to communicate complex quantitative analyses in a clear, precise, and actionable manner Other Skills Strong passion for answering complex business questions using structured problem solving and rigorous data analysis This job description is not all inclusive. Macy’s Inc. reserves the right to amend this job description at any time. Macy's Inc. is an Equal Opportunity Employer, committed to a diverse and inclusive work environment. "
6,2021 Software Engineering & Technology University Program (S.E.T.U.P) – Data Scientist,data scientist,/rc/clk?jk=0d82a0c5c4f0d778&fccid=b4048be2884af072&vjs=3,"Software Engineering & Technology University Program S. E. T. U. P The Software Engineering & Technology University Program S. E. T. U. P is a pipeline to recruit, develop, and retain high-potential entry-level technology professionals who are prepared and positioned to contribute to the successful execution of BNY Mellon’s technology strategy and initiatives. The 2021 S. E. T. U. P program will begin in Winter 2021 and Summer 2021. Program At A Glance Assignments across various job functions within Technology* that combine learning with skill development through practical work and projects; Extensive training curriculum and ongoing learning assignments that will help develop technical, professional, interpersonal and leadership skills; and Career development and networking support from a host of corporate leaders including executive mentors, peer mentors, business stakeholders and a dedicated program manager. Upon successful completion of the program and based on overall business need, S. E. T. U. P participants will be matched to a full-time role, taking into account factors such as business requirements, analyst preferences, and overall performance throughout the program. Program Locations US Pittsburgh, PA *New York, NY * Jersey City, NJ Program Highlights Small, selective program size that allows for more personal attention and support; Participants can further develop technical skills/expertise, enhance leadership abilities, build networks across the organization and accelerate their careers; Robust onboarding and training curriculum designed specifically for S. E. T. U. P participants; Visibility and exposure to senior leaders in small cohorts and/or one-to-one meetings; Full commitment from top-level management to make our program the premier technology talent pipeline program within the financial services industry Data Scientist Primary Responsibilities Participate on a team to apply scientific method to find solutions to real business problems. Perform data analysis, feature engineering and advanced methods to prepare and develop decisions from data. Leverage simple to advanced data techniques to support the team to deliver data analytic products for the firm. Performs analytics in support of the identification and understanding observed business outcomes. Collaborates with others to deliver on hypothesis testing and developing the mathematics to describe the business opportunity. Communicates effectively with analytics staff. Develops analytics, prepares and delivers both informational and decision-seeking presentations. Stays abreast of organization and management changes and has in-depth knowledge of company practices relevant to data science products. Maintains knowledge of company's total computing environment and planned changes in order to develop meaningful data science products. Grow and develop skills across the 3 domain specialties model science, feature science and Insight science capabilities. Stressing expertise in the core functional areas Computer Programming, Math&Analytic Methodology, Distributed computing and communications of complex results. Qualifications Program Eligibility/Qualifications Bachelor's degree required. Candidate is typically a recent college hire with a bachelor's degree in computer science engineering or a related discipline. 0-3 years of experience in software development preferred. Previous technology internship is a plus BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer. Minorities/Females/Individuals With Disabilities/Protected Veterans. Our ambition is to build the best global team – one that is representative and inclusive of the diverse talent, clients and communities we work with and serve – and to empower our team to do their best work. We support wellbeing and a balanced life, and offer a range of family-friendly, inclusive employment policies and employee forums. Primary Location United States-New York-New York Internal Jobcode 96003 Job Information Technology Organization Office of CIO-HR18027 Requisition Number 2007814"
7,"2021 Student Technology, Agile & Readiness Training (S.T.A.R.T) Program – Data Scientist Track",data scientist,/rc/clk?jk=1d0510313da815e6&fccid=b4048be2884af072&vjs=3,"Student Technology, Agile & Readiness Training S. T. A. R. T Program BNY Mellon’s S. T. A. R. T program provides high-potential students with a well-rounded, rewarding internship experience as well as an inside look into what it’s like to work for a global financial services organization that has been innovating and serving clients since 1784. We provide a best-in-class experience for our interns with engaging Agile Projects while providing first-hand knowledge of our culture, people, business, and impact within the marketplace. S. T. A. R. T interns will participate in a robust technical experience in Java Script, Python, CSS, Java, and more. From day one, summer analysts are immersed in BNY Mellon’s innovative and dynamic company culture as they will receive Meaningful and challenging work assignments; Networking opportunities with peers, senior leaders and executives; Exposure to different areas of business; Professional Learning Opportunities; Problem-solving, communications, time management, and leadership training Comprehensive professional etiquette and financial services fundamentals training; and Understanding of BNY Mellon’s commitment to diversity and inclusion. Program At A Glance 10-week U. S. summer internship assignment within an identified line of business or division of BNY Mellon* that combines learning with skill development through practical work and projects; Orientation/onboarding and virtual training curriculum; plus Career development and networking support from a host of corporate leaders, senior mentors, peer mentors, business stakeholders and a dedicated program manager. Potential Program Locations US Pittsburgh, PA * New York, NY * Jersey City, NJ Program Highlights Small, selective program size that allows for more personal attention and support; Participants can further develop their technical and business acumen skills/expertise, enhance leadership abilities and build networks across the organization; Robust onboarding and training curriculum designed specifically for summer analysts; Full commitment from top-level management to make our program the premier internship/talent pipeline program within the financial services industry; Opportunity to apply for one of our full-time pipeline leadership programs, including the Emerging Leaders Program ELP , Operations Campus Analyst Program OCAP and Software Engineering & Technology University Program S. E. T. U. P . Post-S. T. A. R. T Opportunities S. T. A. R. T aims to create a pipeline of talent to feed entry-level pipeline program and entry-level full-time position hiring needs. Upon successful completion of the program as well as overall performance and business need, there are potential full-time employment opportunities that our S. T. A. R. T interns may apply for, including the Emerging Leaders Program ELP , Operations Campus Analyst Program OCAP and Software Engineering & Technology University Program S. E. T. U. P and full-time direct hire roles. Data Scientist Primary Responsibilities Participate on a team to apply scientific method to find solutions to real business problems. Perform data analysis, feature engineering and advanced methods to prepare and develop decisions from data. Leverage simple to advanced data techniques to support the team to deliver data analytic products for the firm. Performs analytics in support of the identification and understanding observed business outcomes. Collaborates with others to deliver on hypothesis testing and developing the mathematics to describe the business opportunity. Communicates effectively with analytics staff. Develops analytics, prepares and delivers both informational and decision-seeking presentations. Stays abreast of organization and management changes and has in-depth knowledge of company practices relevant to data science products. Maintains knowledge of company's total computing environment and planned changes in order to develop meaningful data science products. Grow and develop skills across the 3 domain specialties model science, feature science and Insight science capabilities. Stressing expertise in the core functional areas Computer Programming, Math&Analytic Methodology, Distributed computing and communications of complex results. Qualifications Program Eligibility/Qualifications Enrollment in a 4-year undergraduate U. S. degree program with a strong focus on business-related and/or technology-related majors Rising junior or senior U. S. graduating in Dec 2021 or May 2022 Minimum cumulative GPA of 3. 0 or better U. S. Well-rounded and balanced background including demonstrated leadership abilities Strong written and oral communication skills For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark bnymellon. com/careers. Client Technology Solutions provides our business partners with client-focused, technology-based solutions. These enhance their ability to be successful through world-class software solutions and leading-edge infrastructure. Client Technology Solutions provides employees with the tools and resources to enhance their professional qualifications and careers. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer. Minorities/Females/Individuals With Disabilities/Protected Veterans. Our ambition is to build the best global team – one that is representative and inclusive of the diverse talent, clients and communities we work with and serve – and to empower our team to do their best work. We support wellbeing and a balanced life, and offer a range of family-friendly, inclusive employment policies and employee forums. Primary Location United States-New York-New York Internal Jobcode 05375 Job Information Technology Organization Office of CIO-HR18027 Requisition Number 2007842"
8,Healthcare Payer Data Scientist Consultant,data scientist,/rc/clk?jk=7ae368e26fcff9af&fccid=a4e4e2eaf26690c9&vjs=3,"We are Applied Intelligence, the people who love using data to tell a story. We’re also the world’s largest team of data scientists, data engineers, and experts in machine learning and AI. A great day for us? Solving big problems using the latest tech, serious brain power, and deep knowledge of just about every industry. We believe a mix of data, analytics, automation, and responsible AI can do almost anything—spark digital metamorphoses, widen the range of what humans can do, and breathe life into smart products and services. Want to join our crew of sharp analytical minds? Visit us here to find out more about Applied Intelligence. You are A data maven with serious analytical and statistical chops. You know how to take massive amounts of data and find the insights our clients need to help their companies do more. The work Use statistics, data mining, machine learning, and deep learning techniques to deliver data driven insights for the healthcare industry Work with Accenture teams and clients to understand their challenges and create solutions Be a thought leader for your team on projects and about leading technologies Stay on top of trends in AI Here’s what you need At least 2 years designing and building healthcare data analysis solutions for the business payer or provider industry At least 2 years using new developments in AI, machine learning, cognitive systems, and robotics to build amazing analytical tools At least of 2 years working with tools like SAS, Python, SPSS, R, or SQL At least 2 years working with data integration tools to streamline processes in platforms like Cerner EMR, Apache Spark, Map Reduce, Mongo DB and Couchbase Bonus points if You can use data mining techniques to solve real world business problems You’re fluent in SQL and scripting languages like Python and Perl You know how to use statistical analysis, data visualization and cleaning tools and techniques You’ve designed and built data analysis solutions for a business payer or provider You have a Masters or MBA in statistics, or mathematics Double bonus points if you have a Ph D in analytics, statistics or another quantitative discipline Applicants for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States and with Accenture i. e. , H1-B visa, F-1 visa OPT , TN visa or any other non-immigrant status . Candidates who are currently employed by a client of Accenture or an affiliated Accenture business may not be eligible for consideration. Accenture is an EEO and Affirmative Action Employer of Females/Minorities/Veterans/Individuals with Disabilities. Equal Employment Opportunity All employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law. Accenture is committed to providing veteran employment opportunities to our service men and women. "
9,Data Scientist,data scientist,/rc/clk?jk=a85e8c19ca219c49&fccid=046813bd6f2871bb&vjs=3,"At White Ops, we are all about keeping it human. We are the global leader in bot mitigation. We protect more than 200 enterprises—including the largest internet platforms—from sophisticated bots by verifying the humanity of nearly one trillion online interactions every week. The most sophisticated bots look and act like humans when they click on ads, visit websites, fill out forms, take over accounts, and commit payment fraud. We stop them. Founded in 2012 in a Brooklyn sci-fi bookstore, our Bot Mitigation Platform protects enterprises from the sophisticated bots that threaten them. It's an ongoing war that we fight passionately every day. Join our mission to stop bots, disrupt the economics of cyber crime, and keep it human. The Data Science team at White Ops is building the algorithms that run behind the scenes and power our bot detection engine. We deploy state-of-the-art statistical and machine learning models at a massive scale that distinguish human activity from automated bots. What you'll do Develop algorithms i. e. rule based, statistical, machine learning that automatically detect emerging threats Evaluate and implement data analysis strategies to improve detection efficacy at internet-scale Ad hoc investigations to respond to emerging threats with velocity and quality Collaborate with product, engineering, customer success, to define and develop new product features that will delight our customers Research for case studies and white papers on bot detection Contribute to toolkits and platforms that scale detection analytics Who you are You have a strong sense of ownership which drives you to find ways to do things better, faster, and cheaper You look to find new and innovative ways to solve complex problems through rigorous experimentation, all by yourself You are open, transparent and work in tight collaboration with anyone You constantly drive for correctness and performance, in that order You are a data scientist, analyst, engineer and have solved difficult problems to prove it You have proficiency with SQL, Python You have familiarity with tools, libraries and platforms such as Jupyter notebooks, Pandas, Num Py etc Track record of independent, creative problem solving with large amounts of complex data Knowledge of how the Internet works Comfort with ad tech terminology Background in data science for security is a plus Knowledge of how web browsers work is a plus Benefits and Perks Unlimited vacation policy Stock options, 401 k , and commuter benefits Competitive salary and commission structure Medical and dental insurance for all full-time employees Fully paid parental leave Professional development fund Great coaching from senior leaders and challenging development opportunities Life at White Ops Our HQ office is located in the heart of New York City. We are growing the company deliberately with a keen eye towards maintaining a culture that values diversity, lifestyle, and career growth. We are doing meaningful work and we need people to join our mighty team. We are proud of our overwhelmingly positive presence on Glassdoor and Built in NYC. We have offices located in NYC, DC, Victoria, and London. "
