,id,salaryusd,primarydatabase,yearswiththisdatabase,employmentstatus,jobtitle,managestaff,yearswiththistypeofjob,otherpeopleonyourteam,education,educationiscomputerrelated,certifications,hoursworkedperweek,telecommutedaysperweek,employmentsector,region,averagesalaryusdbins
4496,4529,8000,Microsoft SQL Server,8,Full time employee,DBA,No,0,None,Associates (2 years),,"No, I never have",40,"None, or less than 1 day per week",Private business,Western Europe,USD5000
5497,5535,2000,Microsoft SQL Server,7,Full time employee,DBA,No,1,4,Masters,Yes,"Yes, but they expired",40,5 or more,Private business,Eastern Europe,USD5000
5531,5569,2200,Other,2,Full time employee,Developer,No,2,2,Masters,Yes,"No, I never have",40,2,Private business,Eastern Europe,USD5000
5537,5575,3500,Microsoft SQL Server,12,Full time employee,Developer,No,15,3,Masters,No,"No, I never have",40,1,Private business,Eastern Europe,USD5000
5538,5576,2900,Microsoft SQL Server,8,Full time employee,DBA,No,8,2,Masters,,"No, I never have",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD5000
5539,5577,2900,Microsoft SQL Server,8,Full time employee,DBA,No,8,2,Masters,,"No, I never have",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD5000
5542,5580,2400,Microsoft SQL Server,8,Full time employee,Developer,No,6,2,Doctorate/PhD,Yes,"Yes, but they expired",40,5 or more,Private business,Eastern Europe,USD5000
5543,5581,3300,PostgreSQL,3,Full time employee,DBA,Yes,8,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",35,5 or more,Private business,Eastern Europe,USD5000
5724,5762,10000,Microsoft SQL Server,6,Full time employee,DBA,Yes,6,More than 5,Masters,No,"Yes, and they're currently valid",100,1,Private business,Asia,USD5000
5728,5766,7968,Microsoft SQL Server,4,Full time employee,DBA,Yes,4,More than 5,Bachelors (4 years),Yes,"No, I never have",45,5 or more,Private business,Asia,USD5000
5734,5772,10000,Microsoft SQL Server,4,Full time employee,DBA,No,4,3,Masters,Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,Asia,USD5000
5736,5774,3900,MySQL/MariaDB,2,Full time employee,DBA,No,2,2,Bachelors (4 years),Yes,"No, I never have",45,"None, or less than 1 day per week",Private business,Asia,USD5000
