,age,gender,country,education,title,size,data_prof_size,mach_learn_presence,salary,udacity,coursera,edx,datacamp,dataquest,kaggle,fastai,udemy,linkedin,university,plat_none,plat_other,prime_tool,length_coding,jupyter,rstudio,pycharm,atom,matlab,vsc,spyder,vim_emacs,notepad++,sublime,env_none,env_other,python,r,sql,c,c++,java,javascript,typescript,bash,lan_matlab,lan_none,lan_other,total_lang,first_program,ggplot,matplotlib,altair,shiny,d3,plotly,bokeh,seaborn,geoplotlib,leaflet,vis_none,vis_other,total_viz,years_mach_learn,regression,tree_forest,gradient_boost,bayesian,evolutionary,dnn,cnn,gan,rnn,bert,mach_none,mach_other,total_ml,scikit,tensor_flow,keras,random_forest,xgboost,pytorch,caret,lightgbm,sparkmlib,fastai_2,frame_none,frame_other,gcp,aws,azure,ibm_cloud,alibaba_cloud,salesforce_cloud,oracle_cloud,sap_cloud,vmware_cloud,redhat_cloud,cloud_none,cloud_other,mysql,postgres,sql_lite,sqlserver,oracle,micro_acess,aws_data,aws_dynamo,azure_sql,google_sql,database_none,database_other,total_db
6,23,Female,United States of America,Bachelor’s degree,Data Scientist,large,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)",84999.5,0,0,0,0,0,0,0,1,0,1,0,0,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Python,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,32,Male,United States of America,Master’s degree,Product/Project Manager,large,20+,I do not know,94999.5,1,1,0,0,1,1,1,1,0,1,0,0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3-5 years,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Python,0,1,0,0,0,1,0,1,0,0,0,0,3,1,1,1,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,52,Female,United States of America,Master’s degree,Data Analyst,small,2-Jan,We use ML methods for generating insights (but do not put working models into production),137499.5,0,1,1,0,0,0,0,1,0,0,0,1,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",10-20 years,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,SQL,1,1,0,0,0,0,0,1,0,0,0,1,4,1,1,1,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
16,37,Male,United States of America,Bachelor’s degree,Other,small,14-Oct,"We have well established ML methods (i.e., models in production for more than 2 years)",137499.5,0,1,0,1,0,1,0,0,0,0,0,0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",5-10 years,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Python,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,32,Female,United States of America,Master’s degree,Research Scientist,large,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)",174999.5,0,1,1,0,0,1,0,0,1,0,0,0,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",5-10 years,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,Python,0,1,0,0,0,0,0,1,1,0,0,0,3,1,1,1,1,1,0,1,1,1,1,1,0,0,9,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,6
33,32,Female,United States of America,Doctoral degree,Product/Project Manager,medium,20+,"We have well established ML methods (i.e., models in production for more than 2 years)",94999.5,0,1,0,0,0,0,0,0,0,1,0,0,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",10-20 years,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,Python,0,0,1,1,0,1,0,0,0,0,0,0,3,1,1,1,0,1,0,0,0,0,0,0,0,0,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
42,37,Male,United States of America,Bachelor’s degree,Data Scientist,medium,20+,"We have well established ML methods (i.e., models in production for more than 2 years)",174999.5,1,1,1,0,0,0,0,0,0,0,0,0,"Local development environments (RStudio, JupyterLab, etc.)",5-10 years,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,Python,0,1,0,0,0,0,0,1,0,0,0,0,2,1,1,1,1,0,0,0,1,0,0,0,0,0,4,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
49,32,Male,United States of America,Master’s degree,Other,large,20+,We are exploring ML methods (and may one day put a model into production),174999.5,1,1,0,1,0,1,0,1,1,0,0,0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3-5 years,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,R,1,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,32,Male,United States of America,Bachelor’s degree,Data Analyst,small,4-Mar,"We recently started using ML methods (i.e., models in production for less than 2 years)",112499.5,0,1,0,0,0,0,0,0,0,1,0,0,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,SQL,0,1,0,0,0,0,0,1,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
55,27,Prefer not to say,United States of America,Master’s degree,Data Scientist,large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)",224999.5,1,1,0,0,0,0,0,0,0,1,0,0,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",5-10 years,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,Python,0,1,0,0,0,0,1,1,0,0,0,0,3,1,1,1,1,1,1,1,1,0,1,1,0,0,9,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3
